task_id,success,selected_backend,used_fallback,failure_reason,execution_latency_ms,confidence,response_fingerprint,stim_channel,stim_amplitude_ua,observation_window_ms,recording_path,recording_name,backend_latency_ms,observation_latency_ms,readiness_before,health_before,readiness_after,health_after,channel_count,fps,drift_score,age_of_information_ms,sdk_available
cortical-run-1,True,cortical-labs-backend,False,,6940.58260001475,0.75,recording_completed,1,0.4,100,C:\Users\Stefan Fischer\Documents\python\phys-mcp\2026-04-19_19-27-06.887+00-00_recording.h5,2026-04-19_19-27-06.887+00-00_recording.h5,6940.58260001475,16.44139998825267,unavailable,unknown,ready,healthy,64,25000,0.0,0.0,True
cortical-run-2,True,cortical-labs-backend,False,,7730.455900018569,0.75,recording_completed,3,0.4,120,C:\Users\Stefan Fischer\Documents\python\phys-mcp\2026-04-19_19-27-14.114+00-00_recording.h5,2026-04-19_19-27-14.114+00-00_recording.h5,7730.455900018569,16.778399993199855,ready,healthy,ready,healthy,64,25000,0.0,0.0,True
cortical-run-3,True,cortical-labs-backend,False,,7436.930000025313,0.75,recording_completed,7,0.5,140,C:\Users\Stefan Fischer\Documents\python\phys-mcp\2026-04-19_19-27-22.121+00-00_recording.h5,2026-04-19_19-27-22.121+00-00_recording.h5,7436.930000025313,49.66630000853911,ready,healthy,ready,healthy,64,25000,0.0,0.0,True
