backend,iterations,direct_mean_ms,direct_std_ms,orchestrated_mean_ms,orchestrated_std_ms,added_overhead_ms,relative_factor
chemical,25,1.197227,0.221299,1.230553,0.073178,0.033325,1.027835
wetware,25,0.048189,0.026775,0.093752,0.015207,0.045563,1.945498
edge,25,0.069912,0.024645,0.112996,0.010269,0.043084,1.616259
